i3.xlarge          4 vCPU    2.3 GHz        30.5Gb     $0.376/hr
i3.2xlarge         8 vCPU    2.3 GHz        61.0Gb     $0.752/hr
i3.4xlarge         16 vCPU   2.3 GHz        122.0Gb    $1.504/hr
i3.8xlarge         32 vCPU   2.3 GHz        244.0Gb    $3.008/hr
i3.metal           64 vCPU   2.3 GHz        512.0Gb    $6.016/hr
i3.16xlarge        64 vCPU   2.3 GHz        488.0Gb    $6.016/hr
i3en.large         2 vCPU    3.1 GHz        16.0Gb     $0.273/hr
i3en.xlarge        4 vCPU    3.1 GHz        32.0Gb     $0.546/hr
i3en.2xlarge       8 vCPU    3.1 GHz        64.0Gb     $1.092/hr
i3en.3xlarge       12 vCPU   3.1 GHz        96.0Gb     $1.638/hr
i3en.metal         96 vCPU   3.1 GHz        768.0Gb    $13.104/hr
i3en.24xlarge      96 vCPU   3.1 GHz        768.0Gb    $13.104/hr
i3en.6xlarge       24 vCPU   3.1 GHz        192.0Gb    $3.276/hr
i3en.12xlarge      48 vCPU   3.1 GHz        384.0Gb    $6.552/hr
inf1.xlarge        4 vCPU                   8.0Gb      $0.288/hr
inf1.2xlarge       8 vCPU                   16.0Gb     $0.456/hr
inf1.6xlarge       24 vCPU                  48.0Gb     $1.488/hr
inf1.24xlarge      96 vCPU                  192.0Gb    $5.953/hr
m1.small           1 vCPU                   1.7Gb      $0.053/hr
m1.medium          1 vCPU                   3.75Gb     $0.106/hr
m1.large           2 vCPU                   7.5Gb      $0.211/hr
m1.xlarge          4 vCPU                   15.0Gb     $0.423/hr
m2.xlarge          2 vCPU                   17.1Gb     $0.293/hr
m2.2xlarge         4 vCPU                   34.2Gb     $0.586/hr
m2.4xlarge         8 vCPU                   68.4Gb     $1.171/hr
m3.medium          1 vCPU    2.5 GHz        3.75Gb     $0.084/hr
m3.large           2 vCPU    2.5 GHz        7.5Gb      $0.168/hr
m3.xlarge          4 vCPU    2.5 GHz        15.0Gb     $0.336/hr
m3.2xlarge         8 vCPU    2.5 GHz        30.0Gb     $0.672/hr
m4.large           2 vCPU    2.4 GHz        8.0Gb      $0.126/hr
m4.xlarge          4 vCPU    2.4 GHz        16.0Gb     $0.252/hr
m4.2xlarge         8 vCPU    2.4 GHz        32.0Gb     $0.504/hr
m4.4xlarge         16 vCPU   2.4 GHz        64.0Gb     $1.008/hr
m4.10xlarge        40 vCPU   2.4 GHz        160.0Gb    $2.52/hr
m4.16xlarge        64 vCPU   2.4 GHz        256.0Gb    $4.032/hr
m5.large           2 vCPU    3.1 GHz        8.0Gb      $0.121/hr
m5.xlarge          4 vCPU    3.1 GHz        16.0Gb     $0.242/hr
m5.2xlarge         8 vCPU    3.1 GHz        32.0Gb     $0.484/hr
m5.4xlarge         16 vCPU   3.1 GHz        64.0Gb     $0.968/hr
m5.8xlarge         32 vCPU   3.1 GHz        128.0Gb    $1.936/hr
