c1.medium      2 vCPU                   1.7Gb     $0.179/hr
c1.xlarge      8 vCPU                   7.0Gb     $0.718/hr
g4dn.4xlarge   16 vCPU   2.5 GHz        64.0Gb    $2.046/hr
g4dn.8xlarge   32 vCPU   2.5 GHz        128.0Gb   $3.698/hr
g4dn.12xlarge  48 vCPU   2.5 GHz        192.0Gb   $6.649/hr
g4dn.16xlarge  64 vCPU   2.5 GHz        256.0Gb   $7.397/hr
i3.large       2 vCPU    2.3 GHz        15.25Gb   $0.249/hr
i3.xlarge      4 vCPU    2.3 GHz        30.5Gb    $0.498/hr
i3.2xlarge     8 vCPU    2.3 GHz        61.0Gb    $0.996/hr
i3.4xlarge     16 vCPU   2.3 GHz        122.0Gb   $1.992/hr
i3.8xlarge     32 vCPU   2.3 GHz        244.0Gb   $3.984/hr
i3.metal       64 vCPU   2.3 GHz        512.0Gb   $7.968/hr
i3.16xlarge    64 vCPU   2.3 GHz        488.0Gb   $7.968/hr
i3en.large     2 vCPU    3.1 GHz        16.0Gb    $0.36/hr
i3en.xlarge    4 vCPU    3.1 GHz        32.0Gb    $0.72/hr
i3en.2xlarge   8 vCPU    3.1 GHz        64.0Gb    $1.44/hr
i3en.metal     96 vCPU   3.1 GHz        768.0Gb   $17.28/hr
i3en.24xlarge  96 vCPU   3.1 GHz        768.0Gb   $17.28/hr
i3en.3xlarge   12 vCPU   3.1 GHz        96.0Gb    $2.16/hr
i3en.6xlarge   24 vCPU   3.1 GHz        192.0Gb   $4.32/hr
i3en.12xlarge  48 vCPU   3.1 GHz        384.0Gb   $8.64/hr
inf1.xlarge    4 vCPU                   8.0Gb     $0.377/hr
inf1.2xlarge   8 vCPU                   16.0Gb    $0.598/hr
inf1.6xlarge   24 vCPU                  48.0Gb    $1.95/hr
inf1.24xlarge  96 vCPU                  192.0Gb   $7.8/hr
m1.small       1 vCPU                   1.7Gb     $0.058/hr
m1.medium      1 vCPU                   3.75Gb    $0.117/hr
m1.large       2 vCPU                   7.5Gb     $0.233/hr
m1.xlarge      4 vCPU                   15.0Gb    $0.467/hr
m2.xlarge      2 vCPU                   17.1Gb    $0.323/hr
m2.2xlarge     4 vCPU                   34.2Gb    $0.645/hr
m2.4xlarge     8 vCPU                   68.4Gb    $1.291/hr
m3.medium      1 vCPU    2.5 GHz        3.75Gb    $0.095/hr
m3.large       2 vCPU    2.5 GHz        7.5Gb     $0.19/hr
m3.xlarge      4 vCPU    2.5 GHz        15.0Gb    $0.381/hr
m3.2xlarge     8 vCPU    2.5 GHz        30.0Gb    $0.761/hr
m4.large       2 vCPU    2.4 GHz        8.0Gb     $0.159/hr
m4.xlarge      4 vCPU    2.4 GHz        16.0Gb    $0.318/hr
m4.2xlarge     8 vCPU    2.4 GHz        32.0Gb    $0.636/hr
m4.4xlarge     16 vCPU   2.4 GHz        64.0Gb    $1.272/hr
m4.10xlarge    40 vCPU   2.4 GHz        160.0Gb   $3.18/hr
m4.16xlarge    64 vCPU   2.4 GHz        256.0Gb   $5.088/hr
m5.large       2 vCPU    3.1 GHz        8.0Gb     $0.153/hr
m5.xlarge      4 vCPU    3.1 GHz        16.0Gb    $0.306/hr
m5.2xlarge     8 vCPU    3.1 GHz        32.0Gb    $0.612/hr
m5.4xlarge     16 vCPU   3.1 GHz        64.0Gb    $1.224/hr
m5.8xlarge     32 vCPU   3.1 GHz        128.0Gb   $2.448/hr
m5.12xlarge    48 vCPU   3.1 GHz        192.0Gb   $3.672/hr
m5.16xlarge    64 vCPU   3.1 GHz        256.0Gb   $4.896/hr
m5.24xlarge    96 vCPU   3.1 GHz        384.0Gb   $7.344/hr
m5.metal       96 vCPU   3.1 GHz        384.0Gb   $7.344/hr
m5a.large      2 vCPU    2.5 GHz        8.0Gb     $0.138/hr
m5a.xlarge     4 vCPU    2.5 GHz        16.0Gb    $0.276/hr
m5a.2xlarge    8 vCPU    2.5 GHz        32.0Gb    $0.552/hr
m5a.4xlarge    16 vCPU   2.5 GHz        64.0Gb    $1.104/hr
m5a.8xlarge    32 vCPU   2.5 GHz        128.0Gb   $2.208/hr
m5a.12xlarge   48 vCPU   2.5 GHz        192.0Gb   $3.312/hr
m5a.16xlarge   64 vCPU   2.5 GHz        256.0Gb   $4.416/hr
m5a.24xlarge   96 vCPU   2.5 GHz        384.0Gb   $6.624/hr
m5ad.large     2 vCPU    2.5 GHz        8.0Gb     $0.165/hr
m5ad.xlarge    4 vCPU    2.5 GHz        16.0Gb    $0.33/hr
m5ad.2xlarge   8 vCPU    2.5 GHz        32.0Gb    $0.66/hr
m5ad.4xlarge   16 vCPU   2.5 GHz        64.0Gb    $1.32/hr
m5ad.8xlarge   32 vCPU   2.5 GHz        128.0Gb   $2.64/hr
m5ad.12xlarge  48 vCPU   2.5 GHz        192.0Gb   $3.96/hr
m5ad.16xlarge  64 vCPU   2.5 GHz        256.0Gb   $5.28/hr
m5ad.24xlarge  96 vCPU   2.5 GHz        384.0Gb   $7.92/hr
m5d.large      2 vCPU    3.1 GHz        8.0Gb     $0.18/hr
m5d.xlarge     4 vCPU    3.1 GHz        16.0Gb    $0.36/hr
m5d.2xlarge    8 vCPU    3.1 GHz        32.0Gb    $0.72/hr
m5d.4xlarge    16 vCPU   3.1 GHz        64.0Gb    $1.44/hr
m5d.8xlarge    32 vCPU   3.1 GHz        128.0Gb   $2.88/hr
m5d.12xlarge   48 vCPU   3.1 GHz        192.0Gb   $4.32/hr
m5d.16xlarge   64 vCPU   3.1 GHz        256.0Gb   $5.76/hr
m5d.24xlarge   96 vCPU   3.1 GHz        384.0Gb   $8.64/hr
m5d.metal      96 vCPU   3.1 GHz        384.0Gb   $8.64/hr
m5zn.large     2 vCPU    4.5 GHz        8.0Gb     $0.2632/hr
m5zn.xlarge    4 vCPU    4.5 GHz        16.0Gb    $0.5265/hr
m5zn.2xlarge   8 vCPU    4.5 GHz        32.0Gb    $1.053/hr
m5zn.3xlarge   12 vCPU   4.5 GHz        48.0Gb    $1.5794/hr
m5zn.6xlarge   24 vCPU   4.5 GHz        96.0Gb    $3.1589/hr
m5zn.metal     48 vCPU   4.5 GHz        192.0Gb   $6.3178/hr
m5zn.12xlarge  48 vCPU   4.5 GHz        192.0Gb   $6.3178/hr
m6g.medium     1 vCPU                   4.0Gb     $0.0612/hr
m6g.large      2 vCPU                   8.0Gb     $0.1224/hr
m6g.xlarge     4 vCPU                   16.0Gb    $0.2448/hr
m6g.2xlarge    8 vCPU                   32.0Gb    $0.4896/hr
m6g.4xlarge    16 vCPU                  64.0Gb    $0.9792/hr
m6g.8xlarge    32 vCPU                  128.0Gb   $1.9584/hr
m6g.12xlarge   48 vCPU                  192.0Gb   $2.9376/hr
m6g.16xlarge   64 vCPU                  256.0Gb   $3.9168/hr
m6g.metal      64 vCPU                  256.0Gb   $3.9168/hr
m6i.large      2 vCPU    3.5 GHz        8.0Gb     $0.153/hr
m6i.xlarge     4 vCPU    3.5 GHz        16.0Gb    $0.306/hr
m6i.2xlarge    8 vCPU    3.5 GHz        32.0Gb    $0.612/hr
m6i.4xlarge    16 vCPU   3.5 GHz        64.0Gb    $1.224/hr
m6i.8xlarge    32 vCPU   3.5 GHz        128.0Gb   $2.448/hr
m6i.12xlarge   48 vCPU   3.5 GHz        192.0Gb   $3.672/hr
